run_dir,epoch,global_step,state_path,config_source,notes,run_id,status,family,loss_config,objective,model_target,vlm,initial_checkpoint,resume_from,learning_rate,lr_multipliers,dataset_class,dataset_root,clip_filter,annotations,chunks,cameras,timing,route_in_prompt,camera_ids,frame_numbers,eval_count
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/.stale_noaux_T2_cancelled382,0,0,,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/.stale_noaux_T2_cancelled382/config.yaml,,.stale_noaux_T2_cancelled382,excluded: below one epoch / no completion evidence,KAVA latent-slot distillation and controls,"{""kava"": {""jacobi_iters"": 2, ""kv_align"": ""projector"", ""kv_layer_map"": null, ""kv_layerwise_std"": true, ""kv_loss_type"": ""l1"", ""kv_loss_weight"": 0.0, ""num_slots"": 8, ""slot_init"": ""vocab"", ""slot_init_cot_text"": ""${data.train_dataset.kv_cache_root}"", ""slot_init_std"": 0.02, ""teacher_layers"": 36}, ""latent_cosine_weight"": 0.1, ""latent_loss_weight"": 0.0}","CE + 0*latent + 0*KV; M=8, T=2, l1",alpamayo1_5_distill.models.kava_model.KaVaReasoningVLA.from_pretrained_vlm,/data/achahe/alpasim/huggingface/hub/Cosmos-Reason2-2B,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_sft/training/output_stage1_cosmos2b_lcdrive/checkpoint-3597,,1e-05,"{""vlm.model.visual"": 0.1, ""latent_proj"": 10.0, ""kv_projector"": 5.0, ""slot_embeddings"": 10.0, ""jacobi_proj"": 5.0}",alpamayo1_5_distill.data.kava_dataset.KaVaPAIDataset,/data/datasets/physical_ai_av/,/data/datasets/physical_ai_av/lcdrive_physicalai_av_manifests/lcdrive_train_clip_uuids.txt,,0-3146,"[0, 1, 2, 3]",default keyframe,False,False,False,0
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/.stale_noaux_T2_nccl383,0,0,,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/.stale_noaux_T2_nccl383/config.yaml,,.stale_noaux_T2_nccl383,excluded: below one epoch / no completion evidence,KAVA latent-slot distillation and controls,"{""kava"": {""jacobi_iters"": 2, ""kv_align"": ""projector"", ""kv_layer_map"": null, ""kv_layerwise_std"": true, ""kv_loss_type"": ""l1"", ""kv_loss_weight"": 0.0, ""num_slots"": 8, ""slot_init"": ""vocab"", ""slot_init_cot_text"": ""${data.train_dataset.kv_cache_root}"", ""slot_init_std"": 0.02, ""teacher_layers"": 36}, ""latent_cosine_weight"": 0.1, ""latent_loss_weight"": 0.0}","CE + 0*latent + 0*KV; M=8, T=2, l1",alpamayo1_5_distill.models.kava_model.KaVaReasoningVLA.from_pretrained_vlm,/data/achahe/alpasim/huggingface/hub/Cosmos-Reason2-2B,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_sft/training/output_stage1_cosmos2b_lcdrive/checkpoint-3597,,1e-05,"{""vlm.model.visual"": 0.1, ""latent_proj"": 10.0, ""kv_projector"": 5.0, ""slot_embeddings"": 10.0, ""jacobi_proj"": 5.0}",alpamayo1_5_distill.data.kava_dataset.KaVaPAIDataset,/data/datasets/physical_ai_av/,/data/datasets/physical_ai_av/lcdrive_physicalai_av_manifests/lcdrive_train_clip_uuids.txt,,0-3146,"[0, 1, 2, 3]",default keyframe,False,False,False,0
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/.stale_noaux_T2_nccl384,0,0,,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/.stale_noaux_T2_nccl384/config.yaml,,.stale_noaux_T2_nccl384,excluded: below one epoch / no completion evidence,KAVA latent-slot distillation and controls,"{""kava"": {""jacobi_iters"": 2, ""kv_align"": ""projector"", ""kv_layer_map"": null, ""kv_layerwise_std"": true, ""kv_loss_type"": ""l1"", ""kv_loss_weight"": 0.0, ""num_slots"": 8, ""slot_init"": ""vocab"", ""slot_init_cot_text"": ""${data.train_dataset.kv_cache_root}"", ""slot_init_std"": 0.02, ""teacher_layers"": 36}, ""latent_cosine_weight"": 0.1, ""latent_loss_weight"": 0.0}","CE + 0*latent + 0*KV; M=8, T=2, l1",alpamayo1_5_distill.models.kava_model.KaVaReasoningVLA.from_pretrained_vlm,/data/achahe/alpasim/huggingface/hub/Cosmos-Reason2-2B,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_sft/training/output_stage1_cosmos2b_lcdrive/checkpoint-3597,,1e-05,"{""vlm.model.visual"": 0.1, ""latent_proj"": 10.0, ""kv_projector"": 5.0, ""slot_embeddings"": 10.0, ""jacobi_proj"": 5.0}",alpamayo1_5_distill.data.kava_dataset.KaVaPAIDataset,/data/datasets/physical_ai_av/,/data/datasets/physical_ai_av/lcdrive_physicalai_av_manifests/lcdrive_train_clip_uuids.txt,,0-3146,"[0, 1, 2, 3]",default keyframe,False,False,False,0
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/b2c_smoke,0,0,,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/b2c_smoke/config.yaml,,b2c_smoke,excluded: below one epoch / no completion evidence,VLM cache / block / field distillation and CE controls,"{""kd"": {""block_timestep"": ""beta"", ""block_weight"": 1.0, ""ce_weight"": 0.0, ""kd_temperature"": 1.0, ""kd_weight"": 0.0, ""kv_align"": ""direct"", ""kv_layerwise_std"": true, ""kv_loss_type"": ""l1"", ""kv_weight"": 0.0, ""log_kv_regions"": true}}","1*block; t=beta, span=1",alpamayo1_5_distill.models.kd_model.KDReasoningVLA.from_pretrained_vlm,/data/achahe/alpasim/huggingface/hub/Cosmos-Reason2-2B,,,1e-05,{},alpamayo1_5_distill.data.camera_subset.CameraSubsetPAIDataset,/data/datasets/physical_ai_av/,/data/datasets/physical_ai_av/lcdrive_physicalai_av_manifests/lcdrive_train_clip_uuids.txt,,0-120,"[1, 3]",default keyframe,False,True,True,0
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/block2b_piprobe,0,0,,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/block2b_piprobe/config.yaml,,block2b_piprobe,excluded: below one epoch / no completion evidence,VLM cache / block / field distillation and CE controls,"{""kd"": {""block_timestep"": ""beta"", ""block_weight"": 1.0, ""ce_weight"": 0.0, ""kd_temperature"": 1.0, ""kd_weight"": 0.0, ""kv_align"": ""direct"", ""kv_layerwise_std"": true, ""kv_loss_type"": ""l1"", ""kv_weight"": 0.0, ""log_kv_regions"": true}}","1*block; t=beta, span=1",alpamayo1_5_distill.models.kd_model.KDReasoningVLA.from_pretrained_vlm,/data/achahe/alpasim/huggingface/hub/Cosmos-Reason2-2B,,,1e-05,"{""vlm.model.visual"": 0.1}",alpamayo.data.pai.PAIDataset,/data/datasets/physical_ai_av/,/data/datasets/physical_ai_av/lcdrive_physicalai_av_manifests/lcdrive_train_clip_uuids.txt,,0-120,"[0, 1, 2, 3]",default keyframe,False,True,True,0
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/block2b_smoke,0,0,,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/block2b_smoke/config.yaml,,block2b_smoke,excluded: below one epoch / no completion evidence,VLM cache / block / field distillation and CE controls,"{""kd"": {""block_timestep"": ""beta"", ""block_weight"": 1.0, ""ce_weight"": 0.0, ""kd_temperature"": 1.0, ""kd_weight"": 0.0, ""kv_align"": ""direct"", ""kv_layerwise_std"": true, ""kv_loss_type"": ""l1"", ""kv_weight"": 0.0, ""log_kv_regions"": true}}","1*block; t=beta, span=1",alpamayo1_5_distill.models.kd_model.KDReasoningVLA.from_pretrained_vlm,/data/achahe/alpasim/huggingface/hub/Cosmos-Reason2-2B,,,1e-05,"{""vlm.model.visual"": 0.1}",alpamayo.data.pai.PAIDataset,/data/datasets/physical_ai_av/,/data/datasets/physical_ai_av/lcdrive_physicalai_av_manifests/lcdrive_train_clip_uuids.txt,,0-120,"[0, 1, 2, 3]",default keyframe,False,True,True,0
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/blockfield_ck3500,0,0,,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/blockfield_ck3500/config.yaml,,blockfield_ck3500,excluded: below one epoch / no completion evidence,VLM cache / block / field distillation and CE controls,"{""kd"": {""block_timestep"": ""beta"", ""block_weight"": 1.0, ""ce_weight"": 0.0, ""field_weight"": 1.0, ""kd_temperature"": 1.0, ""kd_weight"": 0.0, ""kv_align"": ""direct"", ""kv_layerwise_std"": true, ""kv_loss_type"": ""l1"", ""kv_weight"": 0.0, ""log_kv_regions"": true}}","1*block + 1*field; t=beta, span=1",alpamayo1_5_distill.models.kd_model.KDReasoningVLA.from_pretrained_vlm,/data/achahe/alpasim/huggingface/hub/Cosmos-Reason2-2B,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_block2b_lcdrive/checkpoint-3500,,1e-05,"{""vlm.model.visual"": 0.1}",alpamayo.data.pai.PAIDataset,/data/datasets/physical_ai_av/,/data/datasets/physical_ai_av/lcdrive_physicalai_av_manifests/lcdrive_train_clip_uuids.txt,,0-120,"[0, 1, 2, 3]",default keyframe,False,True,True,0
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/blockfield_smoke,0,0,,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/blockfield_smoke/config.yaml,,blockfield_smoke,excluded: below one epoch / no completion evidence,VLM cache / block / field distillation and CE controls,"{""kd"": {""block_timestep"": ""beta"", ""block_weight"": 1.0, ""ce_weight"": 0.0, ""field_weight"": 1.0, ""kd_temperature"": 1.0, ""kd_weight"": 0.0, ""kv_align"": ""direct"", ""kv_layerwise_std"": true, ""kv_loss_type"": ""l1"", ""kv_weight"": 0.0, ""log_kv_regions"": true}}","1*block + 1*field; t=beta, span=1",alpamayo1_5_distill.models.kd_model.KDReasoningVLA.from_pretrained_vlm,/data/achahe/alpasim/huggingface/hub/Cosmos-Reason2-2B,,,1e-05,"{""vlm.model.visual"": 0.1}",alpamayo.data.pai.PAIDataset,/data/datasets/physical_ai_av/,/data/datasets/physical_ai_av/lcdrive_physicalai_av_manifests/lcdrive_train_clip_uuids.txt,,0-120,"[0, 1, 2, 3]",default keyframe,False,True,True,0
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/blockfr_smoke,0,0,,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/blockfr_smoke/config.yaml,,blockfr_smoke,excluded: below one epoch / no completion evidence,VLM cache / block / field distillation and CE controls,"{""kd"": {""block_freerun_weight"": 1.0, ""block_timestep"": ""beta"", ""block_weight"": 1.0, ""ce_weight"": 0.0, ""kd_temperature"": 1.0, ""kd_weight"": 0.0, ""kv_align"": ""direct"", ""kv_layerwise_std"": true, ""kv_loss_type"": ""l1"", ""kv_weight"": 0.0, ""log_kv_regions"": true}}","1*block; t=beta, span=1",alpamayo1_5_distill.models.kd_model.KDReasoningVLA.from_pretrained_vlm,/data/achahe/alpasim/huggingface/hub/models--Qwen--Qwen3-VL-4B-Instruct/snapshots/ebb281ec70b05090aa6165b016eac8ec08e71b17,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_4b_blockrandt_e3_lcdrive/checkpoint-4794,,1e-05,"{""vlm.model.visual"": 0.1}",alpamayo.data.pai.PAIDataset,/data/datasets/physical_ai_av/,/data/datasets/physical_ai_av/lcdrive_physicalai_av_manifests/lcdrive_train_clip_uuids.txt,,0-120,"[0, 1, 2, 3]",default keyframe,False,True,True,0
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/blockfr_smoke2,0,0,,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/blockfr_smoke2/config.yaml,,blockfr_smoke2,excluded: below one epoch / no completion evidence,VLM cache / block / field distillation and CE controls,"{""kd"": {""block_freerun_layers"": 12, ""block_freerun_weight"": 1.0, ""block_timestep"": ""beta"", ""block_weight"": 1.0, ""ce_weight"": 0.0, ""kd_temperature"": 1.0, ""kd_weight"": 0.0, ""kv_align"": ""direct"", ""kv_layerwise_std"": true, ""kv_loss_type"": ""l1"", ""kv_weight"": 0.0, ""log_kv_regions"": true}}","1*block; t=beta, span=1",alpamayo1_5_distill.models.kd_model.KDReasoningVLA.from_pretrained_vlm,/data/achahe/alpasim/huggingface/hub/models--Qwen--Qwen3-VL-4B-Instruct/snapshots/ebb281ec70b05090aa6165b016eac8ec08e71b17,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_4b_blockrandt_e3_lcdrive/checkpoint-4794,,1e-05,"{""vlm.model.visual"": 0.1}",alpamayo.data.pai.PAIDataset,/data/datasets/physical_ai_av/,/data/datasets/physical_ai_av/lcdrive_physicalai_av_manifests/lcdrive_train_clip_uuids.txt,,0-120,"[0, 1, 2, 3]",default keyframe,False,True,True,0
