log_path,run_dir,reported_epoch,max_steps,save_strategy,status
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kavatrain_361.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_stage1_kava_cosmos2b_lcdrive,0.1,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kavatrain_365.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_stage1_kava_cosmos2b_lcdrive,3.0,-1,,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kavatrain_369.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_stage1_kava_cosmos2b_lcdrive,1.0,-1,,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kavatrain_371.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_stage1_kava_control_lcdrive,1.0,-1,,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kavatrain_380.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kava_T2_bs48_lcdrive,1.0,-1,,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kavatrain_385.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kava_noaux_T2_bs48_lcdrive,1.0,-1,,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kavatrain_388.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kava_T2_bs4_lcdrive,0.42,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kavatrain_391.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kava_T2_bs2_lcdrive,0.21,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_392.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_4b_ce_lcdrive,1.0,-1,,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_393.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_4b_kd_lcdrive,1.0,-1,,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_394.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_4b_kv_lcdrive,1.0,-1,,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_404.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_4b_kvonly_lcdrive,1.0,-1,,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_403.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_4b_cekv_lcdrive,1.0,-1,,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_409.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_4b_kvonly_e3_lcdrive,3.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_418.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_4b_blockonly_lcdrive,1.0,-1,,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_420.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_4b_kvband_lcdrive,1.0,-1,,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_423.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_4b_blockonly_e3_lcdrive,3.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_426.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_4b_blockrandt_lcdrive,0.21,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_428.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_4b_blockrandt_lcdrive,0.21,20,no,excluded: explicit tiny-data smoke
